INDIV_ID,ALT,COST,DISTANCE,WAITTIME,TRAVELTIME,SHAREFRONT,SHAREBACK,PRIVATE,URGENCY,PEERCHOICE_GO,PEERCHOICE_STAY,PAUSING,REOPENING,REOPENED,THREAT,GENDER,AGE,INCOME,EMPLOYMENT,RACE,HISPANIC,AREA,HH_SIZE,VEHICLES,REP,DEM,CHILDREN,ELDERLY,DISABILITY,NONENGLISH,PETS
149,1,20,0.25,0,60,0,0,1,3,1,2,1,0,0,3,1,2,9,1,3,0,2,2,2,0,1,0,0,0,0,1
149,2,0,0.25,60,40,0,0,1,1,4,1,1,0,0,3,1,2,9,1,3,0,2,2,2,0,1,0,0,0,0,1
149,2,0,0.5,60,40,0,1,0,1,1,1,1,0,0,3,1,2,9,1,3,0,2,2,2,0,1,0,0,0,0,1
149,2,0,0.25,30,60,1,0,0,2,2,0,1,0,0,3,1,2,9,1,3,0,2,2,2,0,1,0,0,0,0,1
149,2,40,0.5,0,60,0,1,0,2,2,1,1,0,0,3,1,2,9,1,3,0,2,2,2,0,1,0,0,0,0,1
170,1,20,0.25,0,60,0,0,1,3,1,2,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
170,2,0,0.25,60,40,0,0,1,1,4,1,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
170,2,0,0.5,60,40,0,1,0,1,1,1,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
170,2,0,0.25,30,60,1,0,0,2,2,0,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
170,2,0,0.5,30,20,0,0,1,2,2,0,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
170,2,40,0.5,0,60,0,1,0,2,2,1,0,1,0,4,2,2,5,2,1,0,1,2,2,1,0,0,0,1,0,1
178,1,0,0.5,30,20,0,0,1,2,2,0,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
178,1,40,0.5,0,60,0,1,0,2,2,1,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
178,1,40,0.5,0,60,0,0,1,3,3,0,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
178,1,20,0.25,0,60,0,0,1,3,1,2,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
178,2,0,0.25,60,40,0,0,1,1,4,1,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
178,2,0,0.5,60,40,0,1,0,1,1,1,0,1,0,4,2,1,8,4,1,0,1,4,2,0,1,1,0,0,0,1
180,1,40,0.25,30,20,0,0,1,3,0,0,1,0,0,3,1,1,4,4,1,0,1,3,2,0,0,0,0,0,0,1
